SKU,frequency,value,age,gain_clipped,class_1,class_2,class_3,high_volatility,low_var,dynamic,completed
17158,0.00634568594982036,0.8428748824947728,0.9565217391304348,0.03009010869565218,0,1,0,0,0,1,0
17344,0.04621545442045923,0.3835795652105001,0.8260869565217391,0.082039625,0,0,1,0,0,1,0
17657,0.08987006737247352,0.030316110086143752,0.6521739130434783,0.025293125000000003,0,0,0,0,1,1,0
17776,0.009245033746017133,0.5005073448658179,0.9565217391304348,0.010182668478260869,0,0,0,1,0,1,0
17831,0.6442320912965764,0.45641715105190855,0.0,1.0,0,0,0,0,1,1,0
17937,0.0028530180118245567,0.12460663469903725,0.3913043478260869,0.0028360000000000004,0,0,0,0,1,1,0
18139,0.03486258154208106,0.0717804036725192,0.7391304347826086,0.01587541666666667,0,0,0,0,1,1,0
18226,0.09026536504881066,0.9045921784664742,0.17391304347826086,0.3532195,0,0,0,1,0,1,0
18314,0.02688024199092534,0.8534458191660095,0.8260869565217391,0.10448950000000001,0,0,0,0,1,1,0
18377,0.032723772858517804,0.661437743080104,0.26086956521739135,0.09926107142857143,1,0,0,0,0,1,0
18384,0.038597193909576215,0.2879328315711117,0.9565217391304348,0.05431945652173913,0,0,0,0,1,1,0
18457,0.030145744534579955,0.7914743653470276,0.30434782608695654,0.10691468750000001,0,0,0,0,1,1,0
18808,0.013512687718654996,0.9588142066450812,0.34782608695652173,0.06279888888888889,0,0,0,0,1,1,0
18893,0.08573861172513722,0.43584088139074834,0.5217391304347826,0.16773076923076924,0,0,0,0,1,1,0
18966,0.07333902610231063,0.14944263166609573,0.782608695652174,0.05812407894736843,0,0,0,0,1,1,0
19004,0.14821944177093357,0.014093784814828682,0.08695652173913043,0.012348333333333334,0,0,0,0,1,1,0
19050,0.025390714514872362,0.8047155131869226,0.8695652173913043,0.09498666666666666,1,0,0,0,0,1,0
19143,0.03400323876743511,0.5316591050155816,0.7391304347826086,0.08331736111111113,0,0,0,0,1,1,0
19414,0.0632948920665475,0.29080642021967823,0.6521739130434783,0.08749828125,1,0,0,0,0,1,0
19480,0.02133357499093784,0.2714461426264522,0.9130434782608696,0.02919920454545455,0,0,0,0,1,1,0
19516,0.07414409459645263,0.3360191932654268,0.13043478260869565,0.11976937500000001,0,0,0,0,1,1,0
19703,0.047556029148906914,0.8679952176707119,0.8260869565217391,0.18399400000000002,0,0,0,0,1,1,0
19707,0.2096338053989642,0.847701851725201,0.08695652173913043,0.7704291666666668,0,0,1,0,0,1,0
19726,0.03306750996837619,0.6273159357586019,0.30434782608695654,0.09091875,0,0,0,0,1,1,0
19734,0.17228103946102022,0.12127645851425391,0.08695652173913043,0.11052166666666667,0,0,0,0,1,1,0
19737,0.263371373573491,0.4963243056769044,0.0,0.565245,0,0,0,0,1,1,0
19757,0.02464595077684587,0.7000982050733988,0.30434782608695654,0.0793709375,0,0,0,0,1,1,0
19763,0.009005912278289565,0.02508288904873232,0.3913043478260869,0.0027417500000000003,0,0,0,0,1,1,0
19975,0.08115026568856608,0.4422824820337061,0.6956521739130435,0.1640233823529412,0,1,0,0,0,1,0
19990,0.010604289839131031,0.783748335945272,0.8260869565217391,0.04150287500000001,0,0,1,0,0,1,0
